,type,grid
0,0,76
1,0,91
2,0,117
3,0,129
4,0,146
5,0,147
6,0,150
7,0,159
8,0,160
9,0,163
10,0,173
11,0,189
12,0,190
13,0,199
14,0,200
15,0,202
16,0,205
17,0,214
18,0,228
19,0,259
20,0,263
21,0,274
22,0,288
23,0,300
24,0,301
25,0,304
26,0,314
27,1,59
28,1,76
29,1,144
30,1,185
31,1,199
32,1,200
33,1,214
34,1,216
35,1,345
36,1,369
37,2,103
38,2,134
39,2,186
40,2,190
41,2,199
42,2,216
43,2,263
44,2,369
